update,episodes,frames,FPS,duration,return_mean,return_std,return_min,return_max,success_rate,reshaped_return_mean,reshaped_return_std,reshaped_return_min,reshaped_return_max,reshaped_return_bonus_mean,reshaped_return_bonus_std,reshaped_return_bonus_min,reshaped_return_bonus_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,loss,grad_norm
303,6050,775680,72.18195430813552,10714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9362439692020417,0.00833512214012444,0.003717699515254935,0.00021706621391786028,-0.01553620770573616,0.006558784982189536
304,6085,778240,72.46045734406144,10749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9362555414438247,0.007535584992729128,0.0025598662919946945,0.00020588312581821812,-0.016699747182428837,0.005772444186732173
305,6096,780800,72.26908439976056,10785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9364492833614348,0.0047641483775805685,0.0028514747566077856,9.48990389588289e-05,-0.0164655689150095,0.006032272474840283
306,6109,783360,72.19186768537435,10820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9369040846824646,0.0007603590609505772,0.0011639462900348008,4.46320133505651e-05,-0.018182776868343353,0.0036431486951187253
307,6121,785920,71.85405408679026,10856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9376167595386504,-0.0008457254967652261,-0.0010501281281904084,4.27672607202112e-05,-0.020404914394021034,0.0034675076603889465
308,6155,788480,72.4114743512626,10891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9374571114778518,0.004405199708708096,0.0007292714850336779,4.234508878653287e-05,-0.018624127842485905,0.005428818287327886
309,6172,791040,72.7581367898894,10926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.937551161646843,0.003776610063505359,0.0006824363157647894,4.8485386878383e-05,-0.018668831326067448,0.0025915151345543563
310,6183,793600,72.06542144410915,10962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.937447413802147,0.002881508852806292,0.00204490155010717,4.4262286155571926e-05,-0.01730743981897831,0.006518292706459761
311,6217,796160,72.02208650314536,10997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9378510415554047,-0.0014474544164841065,4.176749862381257e-05,4.0461678304382075e-05,-0.01931651309132576,0.003427863586694002
312,6233,798720,72.63305203039896,11033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,128.0,128.0,1.9383697241544724,-0.002571688624448143,0.0006396375683834776,2.2269668238550364e-05,-0.01873292401432991,0.002501010778360069
